R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
1.079181246,0.477121255,3.95698226,1.531478917,0,3.407626509,1.612783857,0.602059991,4.269717222,0,0,0
1.69019608,0,3.409187392,2.029383778,0,3.645503287,1.62324929,0.77815125,4.14681513,1.707570176,0.477121255,4.140508199
0,0,0,0,0,0,1.73239376,0.477121255,3.895115827,0,0,0
1.986771734,0.301029996,3.478703729,1.643452676,0.602059991,3.983259875,0,0,0,1.204119983,0.301029996,3.998007184
1.672097858,0,3.409187392,0,0,0,2.217483944,0.301029996,3.588552239,1.812913357,0.301029996,3.526094507
1.612783857,0,3.723687452,0,0,0,0.77815125,0.301029996,3.834454005,0,0,0
0,0,0,1.897627091,0.477121255,3.55082111,1.785329835,0,3.295577571,1.653212514,0,3.29666519
2.100370545,0,3.379124146,1.361727836,0,3.679763559,0,0,0,0,0,0
0,0,0,0,0,0,1.832508913,0.602059991,4.395854274,0,0,0
1.959041392,0,3.355710667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.77815125,0,3.626694535,0,0,0
1.86332286,0,3.089353066,0,0,0,1.785329835,0.301029996,3.667368443,2.222716471,0.301029996,3.29858685
2.06069784,0.301029996,3.6405971,1.892094603,0,3.732982197,1.69019608,0,3.862294524,0.77815125,0.477121255,4.002094513
1.322219295,0.477121255,3.175321872,1.892094603,0,3.395970697,0,0,0,0,0,0
0,0,0,2.167317335,0,3.139879086,0,0,0,0,0,0
1.662757832,0.698970004,4.063771235,0,0,0,1.633468456,0.477121255,4.082312467,0,0,0
0,0,0,0,0,0,2.201397124,0,3.118691333,1.995635195,0,3.129826745
0,0,0,0,0,0,1.954242509,0,3.626694535,1.748188027,0,3.680335513
0,0,0,0,0,0,1.505149978,0.477121255,3.729213907,0,0,0
0,0,0,0,0,0,0,0,0,1.447158031,0,3.831836547
1.944482672,0,2.662948622,0,0,0,0.84509804,0,3.396469907,0,0,0
1.897627091,0.477121255,3.674718943,1.959041392,0,3.383745137,1.62324929,0,3.414484116,0,0,0
2.123851641,0,3.13008747,1.681241237,0,3.407626509,1.954242509,0,3.494317738,0.954242509,1.113943352,4.172496917
2.008600172,0.698970004,4.065062947,0,0,0,0,0,0,1.477121255,0.477121255,4.079782788
0,0,0,0,0,0,0,0,0,1.806179974,0.301029996,3.275244787
2.187520721,0,3.169302314,0,0,0,2.187520721,0,3.153012526,1.698970004,0,3.132866542
0,0,0,0,0,0,0,0,0,2,0.477121255,4.058762116
0.698970004,0.84509804,3.812776932,0.77815125,0.903089987,3.976184971,1.342422681,0.903089987,3.841673136,0,0.698970004,3.671889031
0,0,0,0,0,0,2.037426498,0,3.416402733,2.017033339,0.301029996,3.866778675
