R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,0,0,0,0,0.602059991,3.63542392,0,0,0
1.041392685,0.301029996,3.593974572,0,0,0,0,0,0,0,0,0
0,0,0,2.123851641,0,3.13008747,1.681241237,0,3.407626509,1.954242509,0,3.494317738
0,0,0,2.008600172,0.698970004,4.065062947,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.209515015,0,3.419721329
0,0,0,2.187520721,0,3.169302314,0,0,0,2.187520721,0,3.153012526
0.903089987,0.477121255,3.998630788,0.698970004,0.84509804,3.812776932,0.77815125,0.903089987,3.976184971,1.342422681,0.903089987,3.841673136
0,0,0,2.123851641,0,3.732147461,1.531478917,0,3.583717768,0,0,0
1.73239376,0.301029996,3.895266704,2.06069784,0.301029996,3.398119409,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.037426498,0,3.416402733
0,0,0,0,0,0,0,0,0,0,0,3.295577571
1.838849091,0.602059991,3.917318201,0,0,0,1.361727836,0.477121255,3.435969914,2.033423755,0.477121255,3.77815871
1.69019608,0.477121255,3.530427733,1.84509804,0,3.275088893,0,0,0,0,0,0
0,0,0,0.602059991,0,3.443817832,0,0,0,1.62324929,0,3.414484116
1.698970004,0,3.156424966,2.136720567,0,3.607208725,0.954242509,0,3.407626509,0,0,0
0,0,0,2.004321374,0,2.714808585,0,0,0,0,0,0
0,0,0,1.944482672,0,3.142787837,0,0,0,0,0,0
0,0,0,2.195899652,0,3.470332309,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.505149978,0,3.972229295
2.227886705,0.477121255,3.846141857,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.838849091,0,3.422851946,0,0,0
0,0,0,0,0,0,0,0,0,2.123851641,0.301029996,3.807468781
2.113943352,0.301029996,3.424146122,0,0,0,0,0,0,0,0,0
1.278753601,0.698970004,4.028673832,1.792391689,0.477121255,4.100333751,0,0.477121255,3.835731747,1.785329835,0.477121255,3.767345243
1.740362689,0,3.674401476,1.740362689,0,2.662948622,1.643452676,0,3.679763559,1.875061263,0,3.741403917
0,0,0,2.017033339,0,3.172705261,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.158362492,0,2.969554195
0,0,0,1.740362689,0.477121255,3.608698617,1.982271233,0,3.762211793,0,0,0
0,0,0,2.11058971,0,2.714808585,0,0,0,1.785329835,0,3.596607567
1.875061263,0,3.457454962,1.949390007,0.602059991,3.789589598,1.531478917,0,3.407626509,0,0,0
0,0,0,0,0,0,1.544068044,0,3.708656505,0,0,0
0,0,0,0,0,0,0,0,0,2.136720567,0,3.6787818
0,0,0,2.235528447,0,3.044363577,1.995635195,0,3.050596269,1.954242509,0,3.100703083
0,0,0,2.139879086,0,3.607208725,1.959041392,0,3.407626509,0,0,0
0,0,0,1.531478917,0,3.480649404,0,0,0,1.51851394,0.477121255,3.305995883
0,0,0,0,0,0,1.462397998,0,3.395970697,0,0,0
1.748188027,0.698970004,3.741748458,0,0,0,1.959041392,0,3.139879086,0,0,0
1.77815125,0,3.038989266,0,0,0,0,0,0,0,0,0
1.698970004,0.698970004,3.866479384,0,0,0,2.190331698,0.477121255,3.844323747,0,0,0
0,0,0,0,0,0,0,0,0,1.785329835,0,3.596607567
0,0,0,0,0,0,0,0,0,2.158362492,0,3.419721329
0,0,0,0,0,0,1.799340549,0.602059991,3.846845153,1.255272505,0.301029996,3.519493709
0,0,0,1.973127854,0.477121255,3.672595743,0,0,0,0,0,0
