R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,0,0,0,0,0,0,2.045322979,0.301029996,3.270584191
2.181843588,0.477121255,4.118843353,0,0,0,1.301029996,0.301029996,3.751993578,0,0,0
0,0,0,2.217483944,0,2.714808585,0,0,0,1.84509804,0,3.139879086
0,0,0,2.075546961,0.301029996,3.529716936,0,0,0,2.041392685,0,3.39707055
0,0,0,1.913813852,0,3.222162806,0,0,0,0,0,0
0,0,0,2.139879086,0,3.13008747,0,0,0,0,0,0
1.681241237,0,4.1752218,1.799340549,0.301029996,3.751379617,0,0,0,2.025305865,0,3.408460537
0,0,0,2.195899652,0,3.371927343,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.113943352,0.301029996,3.16552293
0,0,0,0,0,0,0,0,0,2.149219113,0,3.39707055
0,0,0,1.716003344,0,3.133538908,0,0,0,2.238046103,0,3.153012526
0,0,0,1.880813592,0,3.142787837,0,0,0,1.886490725,0,3.561264528
0,0,0,0,0,0,0,0,0,2.204119983,0.301029996,3.48296647
0.77815125,0,3.156424966,0,0,0,0,0,0,0,0,0
0,0,0,2.252853031,0,2.714808585,0,0,0,1.892094603,0.301029996,3.419986667
2.08278537,0,3.077488135,0,0,0,0,0,0,0,0,0
1.672097858,0.301029996,3.196888747,2.123851641,0.301029996,3.484441098,0,0,0,0,0,0
0,0,0,0,0,0,1.278753601,0,3.097725445,0,0,0
2.225309282,0,3.181645527,1.301029996,0.301029996,3.368039867,0,0,0,2.037426498,0,3.118691333
0,0,0,0,0,0,0,0,0,1.176091259,0,3.229092829
2.103803721,0,2.901396876,0,0,0,1.301029996,0.301029996,3.580780833,0,0,0
0.77815125,0,3.038989266,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.954242509,0,3.407626509,0,0,0
0,0,0,2.100370545,0,3.156222197,0,0,0,0,0,0
1.477121255,0,3.656963967,1.897627091,0,3.409187392,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.149219113,0,3.39707055
0.602059991,0.477121255,4.3428765,1.973127854,0,2.714808585,0,0,0,0,0,0
1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0
2.235528447,0,3.21987877,2.037426498,0.301029996,3.172705261,1.278753601,0.301029996,3.134175291,0,0,0
2.217483944,0,3.21987877,1.681241237,0.477121255,3.575708129,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.136720567,0,3.731863959
1.986771734,0,3.959796777,0,0,0,0,0,0,0,0,0
2.045322979,0.301029996,3.493321416,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.158362492,0,3.6787818
2.260071388,0,3.375156861,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.414973348,0,3.268157915
1.977723605,0,3.658766781,0,0,0,1.954242509,0,3.708656505,1.591064607,0,3.672641066
0,0,0,0,0,0,0,0,0,2.025305865,0,3.494802604
0,0,0,0.602059991,0.301029996,3.260972758,0,0,0,0,0,0
0,0,0,0,0,0,1.792391689,0,3.193124598,2.068185862,0,3.6787818
0,0,0,2.184691431,0,2.987384586,0,0,0,0,0,0
0,0,0,2.089905111,0,2.714808585,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.591064607,0,3.414484116
0,0,0,1.146128036,0,3.691502769,0,0,0,0,0,0
0,0,0,1.278753601,0,2.662948622,0,0,0,0,0,0
1.69019608,0.301029996,3.108070218,0,0,0,1.919078092,0.301029996,3.134175291,1.255272505,0.301029996,3.103815061
0.602059991,0,3.56862925,0,0,0,0,0,0,1.826074803,0,3.569187911
0.698970004,0,3.962638069,0,0,0,0,0,0,1.672097858,0.477121255,3.797423953
0,0,0,2.23299611,0,3.193124598,1.806179974,0,3.322789422,0,0,0
0,0,0,0,0,0,1.322219295,0.477121255,3.593038412,0,0,0
2.017033339,0.477121255,3.615517326,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.322219295,0,3.103396943
0,0,0,1.73239376,0,3.479210808,0,0,0,0,0,0
0,0,0,1.903089987,0.477121255,3.565034748,0,0,0,0,0,0
1.982271233,0,3.137102034,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.068185862,0,3.138173761
0,0,0,2.089905111,0,3.044363577,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.033423755,0,2.931339283
0,0,0,1.977723605,0,3.747100931,1.929418926,0,3.980793555,0.602059991,0,3.927724531
2.117271296,0,3.181645527,2.139879086,0,3.431117466,0,0,0,0,0,0
0,0,0,1.255272505,0.301029996,3.455484726,1.079181246,0,3.679763559,0,0,0
0,0,0,2.139879086,0,3.13008747,0,0,0,0,0,0
1.826074803,0.477121255,3.502491505,0,0,0,0,0,0,0,0,0
1.963787827,0.301029996,3.655316063,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.139879086,0.477121255,3.539891205
1.681241237,0,2.812592161,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.851258349,0,3.11916598
0,0,0,1.973127854,0.301029996,3.518312433,0,0,3.407626509,0,0,0
0,0,0,2.204119983,0,3.695294464,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.973127854,0.301029996,3.217774402
0,0,0,1.505149978,0.301029996,3.617169765,1.84509804,0.301029996,4.051130496,0,0,0
0,0,0,0,0,0,1.954242509,0,3.52234422,0,0,0
0.903089987,0.477121255,3.623352633,0,0,0,0,0,0,0,0,0
0,0,0,2.187520721,0,2.996614002,0,0,0,1.113943352,0,3.017196484
0,0,3.765870336,0,0,0,0,0,0,0,0,0
2.240549248,0,3.112130326,0,0,0,0,0,0,0,0,0
