1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0.477121255,3.17356616,3.839854985,0,2.146128036,0.477121255,4.074278867,0.301029996,0,3.703346141,0,1.361727836,0.301029996,4.012769193,0.301029996,0,1.751633272,-0.301029996,0.77815125,0,3.626694535,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.118691333,0,0,2.184691431,0,3.118691333,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.483347223,0,0,1.176091259,0,3.708656505,0,0,0,0,0,0,0,0,0,3.885454931,0,1.903089987,0,3.885454931
0.301029996,3.089745848,0,-0.301029996,2.071882007,0,3.089745848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.569386076,0,-0.301029996,1.880813592,0,3.414484116,0,0,1.205547459,0,1.995635195,0,3.129826745
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.217774402,0,-0.301029996,2.167317335,0,3.217774402,0,0,0,0,0,0,0
0,1.116931321,0,0,1.913813852,0,3.108157396,0.301029996,0,3.106596513,-0.301029996,1.62324929,0,3.106596513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.540075229,0,0,1.176091259,0,3.017196484,0,0,0,0,0,0,0
0,3.191974703,3.265008614,0.477121255,1.51851394,0.477121255,3.531055083,0,1.032669117,1.415134251,0.301029996,1.740362689,0.301029996,3.6729502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.048890959,0,0.301029996,1.959041392,0.301029996,3.445125214,0,0,1.01301587,0,2.149219113,0,3.139879086,0,0,0,0,0,0,0,0.602059991,3.096040554,1.176218042,-0.301029996,0.954242509,0.301029996,3.689814862
0,0,0,0,0,0,0,0,3.077703568,0,0,1.477121255,0,3.679763559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.437777464,0,0.301029996,1.838849091,0.301029996,3.493015918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39707055,0,0,2.068185862,0,3.39707055,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.001568332,0,2.120573931,0,3.001568332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.193772609,0,0,2.025305865,0,3.494802604,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.86171123,0,0,2.250420002,0.301029996,3.463771221
0,0,0,0,0,0,0,0.301029996,3.032397019,0,0,1.643452676,0.301029996,3.509518274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.477121255,1.90162508,0,-0.176091259,1.544068044,0.301029996,3.132074001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.408333676,0,0,1.633468456,0,3.408333676
0,0,0,0,0,0,0,0,1.200800633,0,0,1.342422681,0,3.407626509,0,0,0,0,0,0,0,0.301029996,0,1.931212421,-0.301029996,1.322219295,0,3.408333676
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52455465,0,0.477121255,2.173186268,0.477121255,3.52455465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,2.705891041,0,-0.176091259,2.184691431,0.301029996,3.819834394,0,0,0,0,0,0,0
