B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0.602059991,3.128361453,0,-0.301029996,0.301029996,2.696444905,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,2.105250878,0,0.698970004,0,1.99311798,1.711691286,0.698970004,0,0,0,0,0.301029996,3.237808209,1.050980118,0.176091259,N
0,0,0,0,0,3.493004698,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.297643998,0,0,0,0,0,0,0,0,0,0,N
0,3.852278116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.445399565,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.315926935,0,0,N
0,0,0,0,0.477121255,2.953996211,2.739114422,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.061656901,0,0,0,0,0,0,N
0,0,0,0,0,2.794054895,1.59695077,0.698970004,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.69567455,0,0.176091259,N
0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.866511467,0,0.176091259,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.054680671,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,2.200468846,0,0,0,0,2.710415354,0,0,0,0,0,N
0,0,0,0,0.477121255,1.917432756,0,-0.477121255,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.016042646,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,3.153788186,0,-0.301029996,0.477121255,1.122322034,1.569318371,-0.176091259,0,0,0,0,N
0,0,0,0,0,3.13008747,2.543091225,0.602059991,0,0,1.211726857,0,0,0,1.687327569,0,N
0,0,0,0,0.301029996,3.153788186,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,3.516589849,0,0.301029996,1.176091259,2.797141826,3.501951696,-0.176091259,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.543040257,0,0,0.301029996,0,3.850868922,-0.301029996,N
0.301029996,3.295298359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.295279585,2.461486223,0.602059991,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.17356616,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0.699160795,0,0,0,0,0,0,0.301029996,0,1.733712076,-0.301029996,N
