R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4,Y
0,0,0,0.77815125,0,3.097725445,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.021189299,0,3.411049154,N
2.11058971,0,2.714808585,0,0,0,1.785329835,0,3.596607567,2.209515015,0.301029996,3.610677731,N
2.133538908,0,3.13008747,0,0,0,0,0,0,0,0,0,N
2.033423755,0.301029996,3.172705261,0,0,0,0,0,0,0,0,0,N
1.949390007,0.602059991,3.789589598,1.531478917,0,3.407626509,0,0,0,1.995635195,0.301029996,3.722095858,N
0,0,0,0,0,0,0,0,0,1,0,3.064697031,N
1.579783597,0.477121255,3.519651466,0,0,0,0,0,0,0,0,0,N
0,0,0,1.544068044,0,3.708656505,0,0,0,0.77815125,0.477121255,4.170861186,N
0,0,0,0,0,0,2.033423755,0,2.931339283,0,0,0,N
0,0,0,0,0,0,2.214843848,0,3.315926935,0,0,0,N
2.139879086,0,3.607208725,1.959041392,0,3.407626509,0,0,0,0,0.477121255,4.06881713,N
1.897627091,0,3.390383061,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.954242509,0.301029996,3.857700567,N
1.531478917,0,3.480649404,0,0,0,1.51851394,0.477121255,3.305995883,0.477121255,0.477121255,3.54527337,N
0,0,0,0,0,0,1.146128036,0,3.017196484,0,0,0,N
2.123851641,0,3.431117466,1.322219295,0.301029996,3.580780833,0,0,0,0,0,0,N
1.880813592,0.301029996,2.990682227,1.69019608,0,3.139879086,1.954242509,0.301029996,3.588271707,0,0,0,N
0,0,0,0,0,0,2.235528447,0,3.107430542,0,0,0,N
0,0,0,1.462397998,0,3.395970697,0,0,0,1.857332496,0,3.39707055,N
2.195899652,0,3.076439257,2.238046103,0,3.164283539,1.959041392,0,3.783903579,0,0,0,N
0,0,0,0,0,0,2.068185862,0,3.39707055,0,0,0,N
0,0,0,1.959041392,0,3.139879086,0,0,0,1.986771734,0,3.71207915,N
0,0,0,0,0,0,0,0,0,2.10720997,0,3.356995562,N
0,0,0,2.190331698,0.477121255,3.844323747,0,0,0,2.257678575,0.602059991,4.026296559,N
0,0,0,0,0,0,2.201397124,0,3.245512668,0,0,0,N
1.612783857,0,2.662948622,0,0,0,1.612783857,0.477121255,3.95679186,0,0,0,N
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.158362492,0,3.419721329,1.770852012,0,3.408333676,N
0,0,0,0,0,0,0,0,0,2.06069784,0.301029996,3.521180397,N
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0,N
2.155336037,0.301029996,3.303169124,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,3.720989645,0,0,0,0,0,0,N
0,0,0,1.799340549,0.477121255,3.43358179,0,0,0,0,0,0,N
2.11058971,0,3.379124146,0,0,0,0,0,0,0,0,0,N
2.123851641,0,3.607208725,0,0,0,0,0,0,0,0,0,N
2.008600172,0.301029996,4.066187702,2.012837225,0,3.140405056,0,0,0,1.204119983,0.477121255,3.933791227,N
0,0,0,0,0,0,0,0,0,2.130333768,0,3.356995562,N
0,0,0,1.079181246,0,3.679763559,0.698970004,0.301029996,3.834454005,0,0,0,N
0,0,0,0,0,0,1.672097858,0.301029996,3.398100539,0,0,0,N
1.799340549,0.301029996,3.587076807,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.170261715,0,3.200960356,N
2.100370545,0,3.156222197,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.139879086,0,3.6787818,0,0,0,N
0,0,0,0,0,0,2.041392685,0,3.115372737,1.851258349,0,3.673561094,N
0,0,0,0.77815125,0,3.395970697,0.698970004,0,3.626694535,0,0,0,N
0,0,0,0,0,0,1.176091259,0,3.017196484,0,0,0,N
0,0,0,0,0,0,0,0,0,1.633468456,0,3.408333676,N
0,0,0,0,0,0,2.071882007,0,3.573656945,0,0,0,N
