B1,I1,C1,P1,R1,F1,M1,B2,I2,C2,P2,R2,F2,M2,B3,I3,C3,P3,R3,F3,M3,B4,I4,C4,P4,R4,F4,M4,Y
0,0,0,0,0,0,0,0.301029996,1.991293693,0,-0.301029996,1.612783857,0,3.723687452,0,0,0,0,0,0,0,0.301029996,2.372056007,0,0,0.77815125,0.301029996,3.834454005,N
0,0,0,0,0,0,0,0,3.710217388,0,0,1.949390007,0,3.710217388,0,0,3.708656505,0,1.785329835,0,3.708656505,0,0,0,0,0,0,0,N
0.477121255,3.261463296,1.478892601,0.124938736,1.851258349,0.602059991,3.753835533,0,0,3.098997634,0,1.230448921,0,3.098997634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.059886426,0,0,2.08278537,0,3.852278116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,2.839951387,0,0,2.100370545,0,3.379124146,0.301029996,1.589858448,0,-0.301029996,1.361727836,0,3.679763559,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.838805681,0,2.204119983,0,2.838805681,N
0.301029996,3.179842713,0,-0.301029996,1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.762753284,0,0,1.041392685,0.301029996,3.762753284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,3.896270657,2.752225829,0.124938736,1.832508913,0.602059991,4.395854274,N
0,0,0,0,0,0,0,0.301029996,2.949390757,0,0.176091259,2.093421685,0.477121255,3.558234728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.014711412,0,0,2.201397124,0,3.394922654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.055149606,0,0.698970004,1.959041392,0.698970004,4.018937433,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176091259,0,0,1.959041392,0,3.139879086,0,0,3.139879086,0,1.544068044,0,3.139879086,N
0,0,0,0,0,0,0,0,3.169302314,0,0,2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.77815125,3.636502256,1.754761192,-0.176091259,1.146128036,0.602059991,4.064139429,0.602059991,3.495434478,0,-0.124938737,1.886490725,0.477121255,3.504589784,0,0,3.808674728,0.301029996,1.69019608,0.301029996,3.951666591,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.384758869,0,0,1.913813852,0,3.384758869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,4.559120102,0,0,1.255272505,0.301029996,4.559120102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.39707055,0,-0.301029996,2.161368002,0,3.39707055,N
0,0,0,0,0,0,0,0,1.40632066,0,0,1.959041392,0,3.355710667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.847857287,0,0.301029996,2.243038049,0.301029996,2.847857287,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.201660545,0,-0.301029996,2.149219113,0,3.6787818,N
0,3.179842713,0,0,1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0.69983577,0,0,1.505149978,0,2.878812717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386145287,0,0,0.77815125,0,3.626694535,N
