B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4
0,1.753617873,1.751157275,0.301029996,0,0,2.888381583,0.301029996,0,0,1.711792898,0,0,0,3.862294524,0
0,1.374222576,1.067417356,0.301029996,0,0,0,0,0,0,0,0,0,0,1.637470108,0
0,0,0,0,0,3.05608542,0,0.301029996,0,1.422842843,1.405816239,0.301029996,0,0,0,0
0,3.168171281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.221383867,0,0.301029996,0,0,0,0,0.301029996,0,0.727159631,-0.301029996,0,0,1.627460565,0
0.698970004,2.169121699,0,0.079181246,0.477121255,1.510733465,0.981707385,-0.176091259,0,0,0,0,0.301029996,0,3.13245919,0
0,2.266130335,0,0.301029996,0,0,3.512484877,0,0,0,3.383745137,0,0,0,3.394222979,0
0,0,0,0,0,3.371927343,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.826680585,0,0.301029996,0,0.839148708,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.841105225,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.796472039,0,0
0,2.319094775,0,0.301029996,0,0,0,0,0,0,0,0,0,0,1.672452026,0
0,0,0,0,0,3.409187392,0,0,0,0,0,0,0,0,1.037907158,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.187795915,0,0
0,1.118102741,0,0,0,0,1.320584273,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.24781939,0,0,0,0,0,0,0,0,0,0
0,1.605643796,0,0.477121255,0.698970004,1.636414967,2.336371951,0,0,1.425968732,3.060184891,0.477121255,0.301029996,3.44667545,3.193124598,0
0,0,0,0,0,0,0,0,0,1.13363656,1.0064196,0.602059991,0,0,0,0
0.301029996,2.437609555,1.166225235,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.457989612,0,0,0,0,1.27729274,0,0,1.540075229,0,0
0,0,0,0,0.84509804,2.867851093,0,-0.146128036,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.419721329,0,0
0,0,0,0,0,1.754328965,0,0,0,0,0,0,0,0,3.153012526,0
0,3.924513828,0,0.477121255,0,1.308755858,1.849185797,0.84509804,0.301029996,0,3.065064991,0.602059991,0,0,2.268235124,0.903089987
0,0,0,0,0,2.060049603,0,0,0,0,1.4105315,0,0,0,0,0
0.84509804,2.02020544,0,-0.477121255,0,3.018691455,3.163475845,0.301029996,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.565144385,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.040305066,0,0
0.602059991,1.567070182,1.56204128,0,0,0,0,0,0.301029996,2.858376573,0,0.176091259,0.301029996,0,3.77815871,0.176091259
