B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.39624166,1.471962374,0
0.84509804,1.599469307,1.610242618,-0.146128036,0.301029996,0,1.783541252,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,1.196294645,0,-0.301029996,0.477121255,3.004888008,0,-0.477121255
0,1.904589829,1.821012946,0.477121255,0,0,0,0,0,0,3.630133781,0,0,0,0,0
0,1.754219962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.363378108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.473735257,0,0,0,0,0,0,0,0,0,0,0,0,3.68136802,0
0,0,1.617127007,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.39624166,1.620482651,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.408333676,0,0
0,0,0,0,0,0,2.749566274,0,0,0,0,0,0,0,1.565520941,0
0,0,0,0,0,0,0,0,0,0,1.247166781,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.660179353,0,0
0,0,0,0,0.477121255,2.93940087,0,-0.477121255,0,3.699679276,0,0,0,0,0,0
0,0,2.678188589,0.301029996,0,0,0.748557775,0,0,0,2.127240386,0.301029996,0,0,2.847803933,0.301029996
0,0,0,0,0,0,0,0,0,0,0,0,0,3.408333676,0,0
0,3.17356616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.39624166,0,0
0,1.413778589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.696745052,0,0.477121255,0,0,2.191266111,0.301029996
0,0,0,0,0,0,0,0,0,0,0,0,0,1.766466921,0,0.477121255
0,1.730276065,0,0.477121255,0,0,0,0,0,2.239045233,0,0,0.301029996,0,3.369688498,0
0,0,0,0,0,0,0,0,0,2.249922539,0,0,0,0,0,0
0,1.256899048,1.326922463,0.477121255,0,0,2.142132979,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.056115942,1.337623798,0.301029996
0,0,0,0,0,3.552909822,0,0.477121255,0,0,2.69351758,0,0.301029996,1.847658499,0,-0.301029996
