R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,0,0,0,1.672097858,0.477121255,3.797423953,0,0,0
2.004321374,0,2.714808585,0,0,0,0,0,0,1.963787827,0.301029996,3.517886204
2.23299611,0,3.193124598,1.806179974,0,3.322789422,0,0,0,0,0,0
0,0,0,1.322219295,0.477121255,3.593038412,0,0,0,0,0,0
1.944482672,0,3.142787837,0,0,0,0,0,0,1.939519253,0,3.431829159
0,0,0,0,0,0,1.322219295,0,3.103396943,0,0,0
1.73239376,0,3.479210808,0,0,0,0,0,0,0,0,0
1.903089987,0.477121255,3.565034748,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.068185862,0,3.138173761,0,0,0
0,0,0,0,0,0,1.505149978,0,3.972229295,0.477121255,0,4.02213792
2.089905111,0,3.044363577,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.033423755,0,2.931339283,0,0,0
1.977723605,0,3.747100931,1.929418926,0,3.980793555,0.602059991,0,3.927724531,0,0,0
2.139879086,0,3.431117466,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.079181246,0,3.200960356
0,0,0,1.838849091,0,3.422851946,0,0,0,2.127104798,0,3.40930816
2.139879086,0,3.13008747,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.123851641,0.301029996,3.807468781,1.716003344,0.602059991,4.169884151
0,0,0,0,0,0,0,0,0,2.100370545,0,3.200960356
0,0,0,0,0,0,2.139879086,0.477121255,3.539891205,0,0,0
0,0,0,0,0,0,1.851258349,0,3.11916598,0,0,0
1.973127854,0.301029996,3.518312433,0,0,3.407626509,0,0,0,0,0,0
2.017033339,0,3.172705261,0,0,0,0,0,0,0.477121255,0.301029996,3.553968272
0,0,0,0,0,0,0,0,0,1.755874856,0,3.408333676
0,0,0,0,0,0,1.973127854,0.301029996,3.217774402,0,0,0
1.505149978,0.301029996,3.617169765,1.84509804,0.301029996,4.051130496,0,0,0,0,0,0
0,0,0,0,0,0,2.158362492,0,2.969554195,2.103803721,0,3.198522983
0,0,0,1.954242509,0,3.52234422,0,0,0,0,0,0
2.187520721,0,2.996614002,0,0,0,1.113943352,0,3.017196484,0,0,0
0,0,0,0,0,0,1.531478917,0.301029996,3.659774422,0,0,0
1.792391689,0,2.662948622,0,0,0,0,0,0,0,0,0
2.184691431,0.301029996,3.427605237,0,0,0,2.217483944,0,3.153012526,0,0,0
1.973127854,0,3.474596156,1.959041392,0.301029996,3.550734191,2.220108088,0,3.419721329,0,0,0
1.740362689,0.477121255,3.608698617,1.982271233,0,3.762211793,0,0,0,2,0,3.738438536
0,0,0,0.77815125,0,3.097725445,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.021189299,0,3.411049154
2.11058971,0,2.714808585,0,0,0,1.785329835,0,3.596607567,2.209515015,0.301029996,3.610677731
2.133538908,0,3.13008747,0,0,0,0,0,0,0,0,0
2.033423755,0.301029996,3.172705261,0,0,0,0,0,0,0,0,0
1.949390007,0.602059991,3.789589598,1.531478917,0,3.407626509,0,0,0,1.995635195,0.301029996,3.722095858
0,0,0,0,0,0,0,0,0,1,0,3.064697031
1.579783597,0.477121255,3.519651466,0,0,0,0,0,0,0,0,0
0,0,0,1.544068044,0,3.708656505,0,0,0,0.77815125,0.477121255,4.170861186
0,0,0,0,0,0,2.033423755,0,2.931339283,0,0,0
0,0,0,0,0,0,2.214843848,0,3.315926935,0,0,0
2.139879086,0,3.607208725,1.959041392,0,3.407626509,0,0,0,0,0.477121255,4.06881713
1.897627091,0,3.390383061,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.954242509,0.301029996,3.857700567
1.531478917,0,3.480649404,0,0,0,1.51851394,0.477121255,3.305995883,0.477121255,0.477121255,3.54527337
0,0,0,0,0,0,1.146128036,0,3.017196484,0,0,0
2.123851641,0,3.431117466,1.322219295,0.301029996,3.580780833,0,0,0,0,0,0
1.880813592,0.301029996,2.990682227,1.69019608,0,3.139879086,1.954242509,0.301029996,3.588271707,0,0,0
0,0,0,0,0,0,2.235528447,0,3.107430542,0,0,0
0,0,0,1.462397998,0,3.395970697,0,0,0,1.857332496,0,3.39707055
2.195899652,0,3.076439257,2.238046103,0,3.164283539,1.959041392,0,3.783903579,0,0,0
0,0,0,0,0,0,2.068185862,0,3.39707055,0,0,0
0,0,0,1.959041392,0,3.139879086,0,0,0,1.986771734,0,3.71207915
0,0,0,0,0,0,0,0,0,2.10720997,0,3.356995562
0,0,0,2.190331698,0.477121255,3.844323747,0,0,0,2.257678575,0.602059991,4.026296559
0,0,0,0,0,0,2.201397124,0,3.245512668,0,0,0
1.612783857,0,2.662948622,0,0,0,1.612783857,0.477121255,3.95679186,0,0,0
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.158362492,0,3.419721329,1.770852012,0,3.408333676
0,0,0,0,0,0,0,0,0,2.06069784,0.301029996,3.521180397
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0
2.155336037,0.301029996,3.303169124,0,0,0,0,0,0,0,0,0
0,0,0,0,0.301029996,3.720989645,0,0,0,0,0,0
0,0,0,1.799340549,0.477121255,3.43358179,0,0,0,0,0,0
2.11058971,0,3.379124146,0,0,0,0,0,0,0,0,0
2.123851641,0,3.607208725,0,0,0,0,0,0,0,0,0
2.008600172,0.301029996,4.066187702,2.012837225,0,3.140405056,0,0,0,1.204119983,0.477121255,3.933791227
0,0,0,0,0,0,0,0,0,2.130333768,0,3.356995562
0,0,0,1.079181246,0,3.679763559,0.698970004,0.301029996,3.834454005,0,0,0
