1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1.332226012,0,0.301029996,1.653212514,0.301029996,3.462559781,0.477121255,2.74647291,2.99628993,0.124938736,1.612783857,0.602059991,3.889483987,0,0,0,0,0,0,0,0.301029996,3.39624166,0,-0.301029996,2.167317335,0,3.39624166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.511394128,0,0,0.602059991,0,3.511394128,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.291193346,0,0.176091259,1.681241237,0.477121255,3.914442636,0.84509804,3.42275988,3.436295368,0.057991947,1.69019608,0.903089987,4.640358353
0,0,0,0,0,0,0,0,1.129347856,0,0,1.556302501,0,3.29666519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.770859905,0,0,2.23299611,0,3.372919897
0,0,0,0,0,0,0,0,0,1.374202753,0,1.875061263,0,3.407626509,0,0,0,0,0,0,0,0,0,1.703858012,0,2.155336037,0,3.305918004
0.602059991,3.812915178,0,-0.124938737,1.079181246,0.477121255,3.95698226,0.477121255,0,1.307255964,-0.477121255,1.531478917,0,3.407626509,0.602059991,0,3.28144031,0,1.612783857,0.602059991,4.269717222,0,0,0,0,0,0,0
0,1.291916096,0,0,1.69019608,0,3.409187392,0,0,1.764689695,0,2.029383778,0,3.645503287,0.301029996,3.592571347,3.604943636,0.477121255,1.62324929,0.77815125,4.14681513,0,0,4.140508199,0.477121255,1.707570176,0.477121255,4.140508199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.895115827,0.477121255,1.73239376,0.477121255,3.895115827,0,0,0,0,0,0,0
0,1.559625636,0,0.301029996,1.986771734,0.301029996,3.478703729,0.301029996,2.294148823,3.521462926,0.301029996,1.643452676,0.602059991,3.983259875,0,0,0,0,0,0,0,0,0,2.234902894,0.301029996,1.204119983,0.301029996,3.998007184
0.477121255,1.977823628,0,-0.477121255,1.672097858,0,3.409187392,0,0,0,0,0,0,0,0.477121255,0,3.287522243,-0.176091259,2.217483944,0.301029996,3.588552239,0.301029996,0,1.719914533,0,1.812913357,0.301029996,3.526094507
0.301029996,1.991293693,0,-0.301029996,1.612783857,0,3.723687452,0,0,0,0,0,0,0,0.301029996,2.372056007,0,0,0.77815125,0.301029996,3.834454005,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.381765642,1.004114212,0.477121255,1.897627091,0.477121255,3.55082111,0,0,2.517426321,0,1.785329835,0,3.295577571,0,0,1.156786104,0,1.653212514,0,3.29666519
0,2.839951387,0,0,2.100370545,0,3.379124146,0.301029996,1.589858448,0,-0.301029996,1.361727836,0,3.679763559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
