B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4
0,0,0,0,0,0,0,0,0,0,0,0,0,2.741720651,0,0.301029996
0,3.493004698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.477121255,1.510733465,0.981707385,-0.176091259,0,0,0,0,0.301029996,0,3.13245919,0,0,3.778278033,3.487021483,0.301029996
0,0,3.512484877,0,0,0,3.383745137,0,0,0,3.394222979,0,0,0,3.372919897,0
0,3.297643998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.445399565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.315926935,0,0,0,0,0,0
0,3.371927343,0,0,0,0,0,0,0,0,0,0,0,0,3.35887688,0
0.477121255,2.953996211,2.739114422,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.826680585,0,0.301029996,0,0.839148708,0,0,0,3.282543209,0,0.477121255
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.706871666,1.822210393,0.176091259
0,0,0,0,0,0,0,0,0,2.841105225,0,0,0,3.408333676,3.130799164,0.301029996
0,0,0,0,0,0,0,0,0,0,0,0,0,3.136951054,0,0
0,0,0,0,0,1.061656901,0,0,0,0,0,0,0,0,0,0
0,2.794054895,1.59695077,0.698970004,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.602059991,2.251724719,0,-0.301029996
0.301029996,2.200468846,0,0,0,0,2.710415354,0,0,0,0,0,0,0,0,0
0.477121255,1.917432756,0,-0.477121255,0,0,0,0,0,0,0,0,0,0,0,0
0,3.016042646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301029996,3.153788186,0,-0.301029996,0.477121255,1.122322034,1.569318371,-0.176091259,0,0,0,0,0,0,0,0
0,3.13008747,2.543091225,0.602059991,0,0,1.211726857,0,0,0,1.687327569,0,0,0,0,0
0.301029996,3.153788186,0,-0.301029996,0,0,0,0,0,0,0,0,0.301029996,0,3.200960356,-0.301029996
1.176091259,2.797141826,3.501951696,-0.176091259,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.543040257,0,0,0.301029996,0,3.850868922,-0.301029996,0,0,0,0
0,3.409187392,0,0,0,0,0,0,0,0,1.037907158,0,0.301029996,0,1.516239073,-0.301029996
0,0,0,0,0,0,0,0,0,0,0,0,0,1.503975139,0,0.301029996
0,0,0,0,0,0,0,0,0,2.187795915,0,0,0,0,3.982398016,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.053627141,0,0
0,3.17356616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.407626509,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.408239965,0,0,0,0,0,0,0,0,0,0
0.301029996,1.565250238,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.320584273,0,0,0,0,0,0,0,0,0,0,0,3.356995562,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.137300608,0,0
0,0,0,0,0,0,0,0,0.301029996,0,2.927724531,-0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,3.233216901,1.600000072,-0.176091259
0,1.24781939,0,0,0,0,0,0,0,0,0,0,0,0,2.65270549,0
0,0.917478555,0,0,0,0,0,0,0,0,2.329279291,0,0,0,0,0
0.698970004,1.636414967,2.336371951,0,0,1.425968732,3.060184891,0.477121255,0.301029996,3.44667545,3.193124598,0,0.477121255,0,2.860958548,-0.176091259
0,0,0,0,0,0,0,0,0,0,0,0,0,0.836810326,0,0
0,3.089745848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.13363656,1.0064196,0.602059991,0,0,0,0,0.301029996,0,2.767134089,-0.301029996
0,3.371927343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.163475845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.19576132,3.35887688,0.301029996
0,1.448512582,0.604149544,0.698970004,0,0,0,0,0,0,0,0,0,0,0,0
0,3.169302314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.419721329,0,0,0,0,3.822536169,0.301029996
0,0,0,0,0,0,0,0,0,0,3.11916598,0.301029996,0,0,0,0
0,0,0,0,0,3.045222966,0,0,0,1.848124438,3.034074709,0.477121255,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.892742613,0,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,2.492432941,1.451040255,0,0,0,0,0
0,0,0,0,0.301029996,0,3.751993578,0,0,0,0,0,0,0,0,0
0,1.538717326,0,0,0,0,0,0,0,3.139879086,0,0,0,0,0,0
0,3.059895921,0,0.301029996,0,0,0,0,0,1.55197251,0,0,0,0,0,0
0,2.921132811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,2.231734861,2.10209119,0.367976785
0.477121255,3.380150919,2.732613372,-0.176091259,0,0,0,0,0,0,2.931339283,0,0,0,0,0
0,3.371927343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.051579578,0,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,3.39707055,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.600401744,0,0
0,2.060049603,0,0,0,0,1.4105315,0,0,0,0,0,0.301029996,0,3.062879955,-0.301029996
0.301029996,2.832508913,0,-0.301029996,0,0,0,0,0,0,2.307914486,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.818268474,0,0
0,3.018691455,3.163475845,0.301029996,0,0,0,0,0,0,0,0,0.301029996,2.299589743,0,-0.301029996
0,2.665666582,0,0,0,0,0,0,0,0,1.548427303,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.48296647,0,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,1.040305066,0,0,0,0,3.29666519,0
0,2.714808585,0,0,0,0,0,0,0.301029996,2.721016662,0,0,0,0,0,0
0.477121255,2.882381107,2.484441098,-0.176091259,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.882881597,0,0,0,0,0,0,0,0,0,0
0,0.408111828,1.080128673,0.301029996,0,0,0,0,0,0,3.118691333,0,0,0,0,0
0,0,0,0,0,3.407626509,3.097725445,0.301029996,0,0,0,0,0,0,0,0
0,0,0,0,0,1.167077261,0,0,0,0,0,0,0,0,0,0
0.477121255,2.554162206,0,-0.477121255,0,0,0,0,0,0,0,0,0,0,0,0
0,2.932066137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
